iteration,objective,gradient_norm,parameter_step_norm,accepted_step,backtracks,parameter_0,parameter_1,parameter_2,parameter_3,parameter_4
11286,0.011901492259185317,1.7380315006329214e-05,0.0005562557414410336,32.0,0,-27.02485929170893,-28.297904610162714,-26.592581899091282,-0.5949248615805685,-12.957406579880015
11400,0.011900409302353532,1.7078437353495516e-05,0.0005465938337868798,32.0,0,-27.059308205809483,-28.334028951258162,-26.626885298237426,-0.5965076814307898,-12.974136936790487
11514,0.011899363566680567,1.6782962203667162e-05,0.0005371368566161375,32.0,0,-27.093159714132913,-28.369527555059474,-26.660594504391234,-0.5980624289292382,-12.990575781421354
11628,0.011898353634889386,1.649371333428092e-05,0.0005278791689952423,32.0,0,-27.1264264541196,-28.4044136340559,-26.693722064197594,-0.5995897181174638,-13.006729325282455
11742,0.011897378150758446,1.6210520837658056e-05,0.0005188153321425382,32.0,0,-27.15912071657798,-28.438700039172517,-26.726280180933816,-0.6010901455488995,-13.022603608033467
11856,0.011896435816111377,1.593322083779448e-05,0.0005099401003742987,32.0,0,-27.191254458059163,-28.472399272646623,-26.758280726739883,-0.6025642909334802,-13.03820450366901
11970,0.011895525387975968,1.5661655222440396e-05,0.0005012484125124998,32.0,0,-27.222839312678527,-28.505523500330135,-26.78973525430328,-0.6040127177527793,-13.053537726425516
12084,0.0118946456759027,1.5395671389378203e-05,0.0004927353837761139,32.0,0,-27.253886603414248,-28.5380845634488,-26.820655008027888,-0.6054359738473264,-13.068608836424856
12198,0.011893795539432187,1.513512200617932e-05,0.0004843962980799562,32.0,0,-27.28440735291032,-28.57009398984698,-26.851050934714085,-0.6068345919775756,-13.083423245068818
12312,0.0118929738857017,1.4879864782467052e-05,0.00047622660074850975,32.0,0,-27.31441229381021,-28.60156300474494,-26.880933693775784,-0.6082090903599464,-13.097986220197555
12426,0.011892179667183403,1.4629762254017354e-05,0.00046822189160010684,32.0,0,-27.343911878645606,-28.63250254103402,-26.910313667018467,-0.6095599731792062,-13.112302891024406
12540,0.01189141187954477,1.4384681577939312e-05,0.00046037791838779625,32.0,0,-27.3729162893033,-28.662923249133616,-26.93920096800093,-0.6108877310785086,-13.126378252858746
12654,0.01189066955962419,1.414449433830696e-05,0.0004526905705953867,32.0,0,-27.401435446091654,-28.692835506432214,-26.96760545100191,-0.6121928416281929,-13.140217171627723
12768,0.011889951783514789,1.3909076361584275e-05,0.0004451558734935284,32.0,0,-27.4294790164271,-28.722249426333576,-26.99553671961162,-0.6134757697744492,-13.15382438820719
12882,0.011889257664749863,1.3678307541291228e-05,0.00043776998256440404,32.0,0,-27.45705642315978,-28.751174866928004,-27.023004134967202,-0.6147369682688938,-13.167204522571431
12996,0.011888586352584168,1.345207167136472e-05,0.00043052917813659464,32.0,0,-27.484176852556388,-28.779621439307242,-27.050016823649567,-0.6159768780800122,-13.180362077770905
13110,0.011887937030363985,1.323025628773536e-05,0.00042342986033313705,32.0,0,-27.510849261956814,-28.80759851554055,-27.07658368525845,-0.6171959287873676,-13.193301443746345
13224,0.011887308913983003,1.301275251761573e-05,0.0004164685442377768,32.0,0,-27.53708238712111,-28.835115236328644,-27.102713399681484,-0.6183945389594543,-13.206026900987476
13338,0.011886701250416647,1.2799454936072572e-05,0.0004096418552991628,32.0,0,-27.562884749281416,-28.862180518351092,-27.128414434072056,-0.6195731165159952,-13.218542624043835
13452,0.0118861133163318,1.259026142948069e-05,0.0004029465249788727,32.0,0,-27.588264661913286,-28.888803061321926,-27.15369504955001,-0.6207320590754585,-13.230852684894979
13566,0.011885544416767221,1.2385073065499666e-05,0.0003963793865585959,32.0,0,-27.61323023723968,-28.914991354767242,-27.178563307638328,-0.6218717542884642,-13.242961056186635
13680,0.011884993883879879,1.2183793969131638e-05,0.00038993737120055063,32.0,0,-27.63778939248042,-28.940753684538162,-27.203027076448404,-0.6229925801578498,-13.254871614339418
13794,0.011884461075754875,1.1986331204628456e-05,0.00038361750414830074,32.0,0,-27.66194985585906,-28.966098139071455,-27.227094036625655,-0.6240949053459217,-13.266588142535989
13908,0.011883945375273567,1.1792594662843935e-05,0.00037741690113744043,32.0,0,-27.685719172378327,-28.991032615409587,-27.250771687066596,-0.6251790894696257,-13.278114333592422
14022,0.0118834461890385,1.1602496953814007e-05,0.0003713327649358077,32.0,0,-27.70910470937517,-29.015564824991237,-27.274067350417987,-0.6262454833840734,-13.289453792719144
14136,0.011882962946350276,1.1415953304180331e-05,0.0003653623820781868,32.0,0,-27.732113661865114,-29.039702299222984,-27.29698817836805,-0.6272944294550906,-13.300610040176549
14250,0.011882495098234873,1.1232881459339564e-05,0.0003595031197169489,32.0,0,-27.75475305768588,-29.06345239484186,-27.319541156739074,-0.6283262618212114,-13.311586513830113
14364,0.011882042116517562,1.1053201589921917e-05,0.0003537524226500825,32.0,0,-27.777029762449118,-29.086822299078438,-27.341733110390617,-0.6293413066456514,-13.322386571609591
14478,0.01188160349294188,1.0876836202499947e-05,0.0003481078104436941,32.0,0,-27.79895048430895,-29.109819034629158,-27.363570707941456,-0.6303398823586882,-13.33301349387659
14592,0.01188117873832988,1.0703710054213505e-05,0.0003425668747040265,32.0,0,-27.82052177855547,-29.132449464446566,-27.38506046631867,-0.631322299890906,-13.343470485704625
14706,0.011880767381783234,1.053375007114775e-05,0.0003371272764690322,32.0,0,-27.841750052040794,-29.15472029635531,-27.406208755141165,-0.6322888628977114,-13.35376067907557
